interval,id,cell,entry,exit
4,6,943,1211900111,1211900111
4,6,945,1211900171,1211900171
4,6,946,1211900231,1211900352
4,9,1147,1211889642,1211889736
4,9,1186,1211889796,1211889796
4,9,1266,1211889856,1211889856
4,9,1306,1211889917,1211889917
4,9,1385,1211889980,1211889980
4,9,1427,1211890038,1211890038
4,9,1428,1211890098,1211890098
4,9,1468,1211890163,1211890163
4,9,1467,1211890219,1211890738
4,9,1427,1211890801,1211890801
4,9,1347,1211890861,1211890861
4,9,1346,1211890919,1211890919
4,9,1347,1211890980,1211890988
4,9,1307,1211891048,1211891048
4,9,1267,1211891108,1211891108
4,9,1188,1211891169,1211891169
4,9,1148,1211891229,1211891229
4,9,1068,1211891291,1211891291
4,9,1029,1211891351,1211891351
4,9,949,1211891412,1211891412
4,9,871,1211891472,1211891472
4,9,632,1211891533,1211891533
4,9,470,1211891581,1211891581
4,9,272,1211891629,1211891629
4,9,74,1211891678,1211891678
4,9,113,1211892684,1211892684
4,9,312,1211892735,1211892735
4,9,511,1211892792,1211892792
4,9,712,1211892844,1211892844
4,9,871,1211892904,1211892904
4,9,991,1211892943,1211892966
4,9,1069,1211893025,1211893025
4,9,1109,1211893085,1211893085
4,9,1188,1211893145,1211893145
4,9,1187,1211893205,1211893205
4,9,1227,1211893265,1211893273
4,9,1266,1211893333,1211893333
4,9,1306,1211893393,1211893393
4,9,1346,1211893453,1211893453
4,9,1426,1211893514,1211893514
4,9,1427,1211893574,1211893574
4,9,1428,1211894039,1211894099
4,9,1429,1211894148,1211894389
4,9,1430,1211894430,1211894430
4,9,1390,1211894491,1211894491
4,9,1351,1211894551,1211894551
4,9,1391,1211894598,1211894720
4,9,1351,1211894769,1211894769
4,9,1389,1211894829,1211894829
4,9,1429,1211894889,1211894949
4,9,1428,1211895009,1211895009
4,9,1468,1211895067,1211895067
4,9,1467,1211895127,1211895127
4,9,1426,1211895187,1211895249
4,9,1425,1211895307,1211895307
4,9,1384,1211895368,1211895368
4,9,1343,1211895425,1211895425
4,9,1342,1211895485,1211895485
4,9,1340,1211895546,1211895583
4,9,1380,1211895645,1211895645
4,9,1341,1211895709,1211895709
4,9,1342,1211895766,1211895826
4,9,1302,1211895887,1211895887
4,9,1303,1211895948,1211895948
4,9,1304,1211895986,1211895986
4,9,1305,1211896046,1211896046
4,9,1264,1211896107,1211896164
4,9,1265,1211896224,1211896224
4,9,1225,1211896285,1211896285
4,9,1185,1211896345,1211896345
4,9,1066,1211896406,1211896406
4,9,986,1211896453,1211896513
4,9,946,1211896574,1211896574
4,9,908,1211896634,1211896634
4,9,831,1211896695,1211896695
4,9,632,1211896754,1211896754
4,9,470,1211896808,1211896808
4,9,272,1211896866,1211896866
4,9,193,1211896886,1211896886
4,9,74,1211898439,1211898439
4,9,232,1211898493,1211898493
4,9,431,1211898554,1211898554
4,9,471,1211898614,1211898614
4,9,592,1211898675,1211898675
4,9,672,1211898735,1211898735
4,9,791,1211898796,1211898796
4,9,951,1211898856,1211898856
4,9,990,1211898917,1211898977
4,9,1071,1211899038,1211899038
4,9,1111,1211899099,1211899099
4,9,1110,1211899159,1211899280
4,9,1109,1211899340,1211899355
4,9,1148,1211899416,1211899416
4,9,1188,1211899476,1211899543
4,9,1187,1211899588,1211899588
4,9,1227,1211899634,1211899866
4,9,1188,1211899926,1211899926
4,9,1189,1211899986,1211899986
4,9,1190,1211900047,1211900047
4,9,1191,1211900109,1211900109
4,9,1232,1211900139,1211900200
4,9,1192,1211900260,1211900324
4,9,1114,1211900381,1211900381
4,10,1146,1211889633,1211889633
4,10,1226,1211889716,1211889716
4,10,1187,1211889776,1211889940
4,10,1227,1211889990,1211889990
4,10,1266,1211890050,1211890111
4,10,1224,1211890160,1211890201
4,10,1264,1211890220,1211890255
4,10,1265,1211890315,1211890315
4,10,1307,1211890385,1211890385
4,10,1311,1211890436,1211890436
4,10,1312,1211890496,1211890497
4,10,1311,1211890557,1211890617
4,10,1350,1211890667,1211890667
4,10,1349,1211890728,1211890728
4,10,1309,1211890809,1211890878
4,10,1229,1211890939,1211890939
4,10,1189,1211890999,1211890999
4,10,1109,1211891059,1211891059
4,10,1070,1211891119,1211891119
4,10,1031,1211891179,1211891179
4,10,992,1211891239,1211891239
4,10,874,1211891282,1211891282
4,10,675,1211891330,1211891330
4,10,473,1211891379,1211891379
4,10,272,1211891437,1211891437
4,10,113,1211891480,1211891480
4,10,153,1211892539,1211892539
4,10,312,1211892589,1211892589
4,10,514,1211892643,1211892643
4,10,715,1211892698,1211892698
4,10,874,1211892754,1211892754
4,10,995,1211892809,1211892809
4,10,1035,1211892869,1211892929
4,10,1116,1211892989,1211892989
4,10,1156,1211893049,1211893049
4,10,1116,1211893109,1211893109
4,10,1075,1211893170,1211893170
4,10,1154,1211893212,1211893212
4,10,1153,1211893272,1211893272
4,10,1152,1211893332,1211893332
4,10,1191,1211893392,1211893452
4,10,1230,1211893512,1211893512
4,10,1228,1211893572,1211893572
4,10,1268,1211893632,1211893632
4,10,1348,1211893692,1211893692
4,10,1306,1211893752,1211893752
4,10,1386,1211893816,1211893840
4,10,1427,1211893901,1211893901
4,10,1467,1211893960,1211894077
4,10,1429,1211894142,1211894142
4,10,1470,1211894201,1211894291
4,10,1469,1211894351,1211894351
4,10,1427,1211894412,1211894471
4,10,1348,1211894531,1211894531
4,10,1347,1211894591,1211894620
4,10,1307,1211894680,1211894680
4,10,1227,1211894741,1211894801
4,10,1188,1211894861,1211894861
4,10,1148,1211894923,1211894923
4,10,1149,1211894982,1211894982
4,10,1070,1211895042,1211895070
4,10,1031,1211895126,1211895126
4,10,1032,1211895186,1211895186
4,10,993,1211895246,1211895246
4,10,994,1211895307,1211895320
4,10,1035,1211895380,1211895380
4,10,1075,1211895440,1211895440
4,10,1116,1211895500,1211895500
4,10,1156,1211895576,1211895621
4,10,1195,1211895682,1211895682
4,10,1234,1211895743,1211895743
4,10,1233,1211895803,1211895803
4,10,1232,1211895864,1211895864
4,10,1230,1211895925,1211895925
4,10,1229,1211895985,1211896017
4,10,1228,1211896050,1211896050
4,10,1268,1211896083,1211896083
4,10,1307,1211896143,1211896433
4,10,1311,1211896493,1211896493
4,10,1272,1211896554,1211896554
4,10,1232,1211896614,1211896614
4,10,1192,1211896677,1211896677
4,10,1153,1211896737,1211896737
4,10,1115,1211896797,1211896797
4,10,1116,1211896857,1211896949
4,10,1156,1211897009,1211897053
4,10,1195,1211897112,1211897112
4,10,1234,1211897173,1211897173
4,10,1273,1211897233,1211897233
4,10,1232,1211897293,1211897293
4,10,1271,1211897332,1211897332
4,10,1230,1211897391,1211897391
4,10,1229,1211897451,1211897451
4,10,1228,1211897511,1211897532
4,10,1227,1211897593,1211897756
4,10,1308,1211897855,1211897855
4,10,1348,1211897915,1211897915
4,10,1388,1211897953,1211898011
4,10,1348,1211898072,1211898163
4,10,1350,1211898229,1211898289
4,10,1272,1211898349,1211898349
4,10,1232,1211898409,1211898409
4,10,1273,1211898470,1211898470
4,10,1233,1211898530,1211898530
4,10,1193,1211898537,1211898558
4,10,1194,1211898618,1211898618
4,10,1233,1211898678,1211898678
4,10,1232,1211898740,1211898740
4,10,1230,1211898799,1211899150
4,10,1228,1211899210,1211899227
4,10,1229,1211899287,1211899287
4,10,1230,1211899347,1211899347
4,10,1231,1211899412,1211899412
4,10,1272,1211899468,1211899468
4,10,1312,1211899529,1211899529
4,10,1392,1211899581,1211899581
